Name,Line 1,Line 2,Town,County,Postcode,lat,lng
Brewers Fayre Derwent Crossing,Derwenthaugh Road,Swalwell,Newcastle upon Tyne,Tyne and Wear,NE16 3BL,54.961533,-1.68739
Brewers Fayre Drove,The Drove,,Newhaven,East Sussex,BN9 0AG,50.7992873,0.06147399999999999
Brewers Fayre Duke of York,Wood,Jubilee Way,Guston,Dover,CT15 5FD,51.1444676,1.330476
Brewers Fayre Dunelm Ridge,Arnison Retail Centre,Pity Me,Durham,County Durham,DH1 5GB,54.8069733,-1.5858403
Brewers Fayre Elmbury Lodge,Shannon Way,Ashchurch,Tewkesbury,Gloucestershire,GL20 8ND,51.9971786,-2.1276183
Brewers Fayre Exeter (M5,Fitzroy Road,,Exeter,Devon,EX1 3LJ,50.724475,-3.47375
Brewers Fayre Flagstaff Island,Flagstaff Park,,Ashby-de-la-Zouch,Leicestershire,LE65 1JP,52.75150619999999,-1.4458448
Brewers Fayre Freebridge Farm,Clenchwarton Road,West Lynn,King's Lynn,Norfolk,PE34 3LW,52.74182099999999,0.3830278
Brewers Fayre Gateway Park,Gateway Park,Newark Road,Lincoln,Lincolnshire,LN6 9UH,53.1776707,-0.6211213999999999
Brewers Fayre Glastonbury,Morland Road,,Glastonbury,Somerset,BA6 9FW,51.140682,-2.733588
Brewers Fayre Goffs Park,45 Goffs Park Road,Goffs Park,Crawley,West Sussex,RH11 8AX,51.1091572,-0.1985436
Brewers Fayre Gordano Gate,Wyndham Way,Portishead,Bristol,North Somerset,BS20 7GA,51.481992,-2.7614436
Brewers Fayre Great Park,Ashbrook Drive,Rubery,Rednal,Birmingham,B45 9FP,52.3980007,-2.0063278
Brewers Fayre Hanley,Etruria Road,Hanley,Stoke-on-Trent,,ST1 5NH,53.024935,-2.185457
Brewers Fayre Heathside,Brighton Road,Burgh Heath,Banstead,Tadworth,KT20 6BW,51.303966,-0.219384
Brewers Fayre Home Farm,Ferriby Road,Kingston upon Hull,Hessle,East Riding of Yorkshire,HU13 0JA,53.7212134,-0.4619097
Brewers Fayre Inn On The Quay,Tanners Road,Goodrington,Paignton,Torbay,TQ4 6LP,50.42491529999999,-3.5597057
Brewers Fayre Inshes Gate,BEECHWOOD PARK,,Inverness,Highland Council,IV2 3BW,57.4734764,-4.186978499999999
Brewers Fayre Kembrey Inn,Larch Close Kembrey Business Park,,Swindon,,SN2 8YS,51.578078,-1.773767
Brewers Fayre Kincardine Way,Bowtrees R'Bout Houghs Of,Airth,Falkirk,,FK2 8PJ,56.05354200000001,-3.758729
Brewers Fayre King William IV,Blyth Road,Oldcotes,Worksop,Nottinghamshire,S81 8HU,53.3920172,-1.1175743
Brewers Fayre Lakeland Gate,Walkmill Crescent,,Carlisle,Cumbria,CA1 2WF,54.8942243,-2.907476
Brewers Fayre Linkwood Lodge,15 Linkwood Way,,Elgin,Moray,IV30 1HY,57.6468188,-3.2873422
Brewers Fayre Loch Iall,An Aird,,Fort William,Highland Council,PH33 6AN,56.82214039999999,-5.105834799999999
Brewers Fayre Lock Keeper,Rother Way,,Chesterfield,Derbyshire,S41 7NJ,53.2510235,-1.4197899
Brewers Fayre Loggans Moor,Carwin Rise,Loggans,Hayle,Cornwall,TR27 5DG,50.197539,-5.396310000000001
Brewers Fayre Mains of Balquharn,Portlethen,Portlethen,Aberdeen,Aberdeenshire,AB12 4QS,57.0645792,-2.1412745
