Name,Line 1,Line 2,Town,County,Postcode,lat,lng
Pret A Manger,230 - 232 Earls Court Road,,London,Greater London,SW5 9RD,51.4920434,-0.1931179
Pret A Manger,Fulham Broadway,,London,Greater London,SW6 1BW,51.4803528,-0.1945861
Pret A Manger,15 Old Brompton Road,,London,Greater London,SW7 3HZ,51.4935353,-0.1741786
Pret A Manger,99 Gloucester Road,,London,Greater London,SW7 4SS,51.49402389999999,-0.182035
Pret A Manger,21 Saint George Wharf,,London,Greater London,SW8 2JW,51.4862417,-0.1248917
Pret A Manger,417 Brixton Road,,London,Greater London,SW9 8HE,51.46288029999999,-0.1147448
Pret A Manger,121-123 Mount Pleasant Road,,Tunbridge Wells,Kent,TN1 1QR,51.1342736,0.2634804
Pret A Manger,Unit 1 Kimberley Way Ashford Designer Village,Kimberley Walk,Village,Ashford,TN24 0SD,51.1374583,0.8778193
Pret A Manger,Two Rivers Shopping Centre Unit SUK2,London,Staines,Surrey,TW18 4UP,51.4343759,-0.5104214
Pret A Manger,Heathrow Airport,Longford,Greater London,,TW6,51.4700223,-0.4542955
Pret A Manger,Heathrow Airport,,London,Greater London,TW6 2GA,51.471466,-0.4879806
Pret A Manger,37 George Street,,Richmond,Greater London,TW9 1HY,51.460944,-0.3034948
Pret A Manger,The Pavilions Shopping Centre,,Uxbridge,Greater London,UB8 1LN,51.54615219999999,-0.4799555
Pret A Manger,140 Ladbroke Grove,,London,Greater London,W10 5NE,51.5179633,-0.2101836
Pret A Manger,65 Notting Hill Gate,,London,Greater London,W11 3JS,51.5088284,-0.1967454
Pret A Manger,65 Notting Hill Gate,,London,Greater London,W11 3JS,51.5088284,-0.1967454
Pret A Manger,84-86 Holland Park,,London,Greater London,W11 3RB,51.5071903,-0.2061482
Pret A Manger,6,Wood Lane,London,Greater London,W12 7GR,51.5071731,-0.2202826
Pret A Manger,6,Wood Lane,London,Greater London,W12 7GR,51.5071731,-0.2202826
Pret A Manger,Ariel Way,,London,Greater London,W12 7SL,51.5053428,-0.218358
Pret A Manger,99-119,Hammersmith Road,London,Greater London,W14 0QH,51.4944717,-0.2125946
Pret A Manger,298 Regent Street,,London,Greater London,W1B 3AP,51.5163309,-0.1421197
Pret A Manger,4 Regent Place,,London,Greater London,W1B 5EA,51.51116469999999,-0.1383088
Pret A Manger,556 Oxford Street,,London,Greater London,W1C 1LZ,51.5135992,-0.1587893
Pret A Manger,35 Frith Street,,Soho,London,W1D 5DU,51.512746,-0.131056
Pret A Manger,39 Coventry Street,,London,Greater London,W1D 6BZ,51.5102585,-0.1315778
Pret A Manger,35 Broadwick Street,,London,Greater London,W1F 0DH,51.5133167,-0.1363465
Pret A Manger,93-95 Wardour Street,,London,Greater London,W1F 0UE,51.51277200000001,-0.1336477
